driverStandingsId,raceId,driverId,points,position,positionText,wins
64717,853,67,13,14,14,0
64718,853,16,24,12,12,0
64719,853,814,12,15,15,0
64720,853,153,16,13,13,0
64721,853,2,34,10,10,0
64722,853,15,0,21,21,0
64723,853,816,0,24,24,0
64724,853,10,0,25,25,0
64725,853,22,4,17,17,0
64726,853,3,56,7,7,0
64727,853,5,0,22,22,0
64728,853,30,52,8,8,0
64729,853,813,1,19,19,0
64730,853,155,27,11,11,0
64731,853,24,0,23,23,0
64732,853,815,8,16,16,0
64733,853,39,0,26,26,0
64734,853,37,0,20,20,0
64735,853,817,0,27,27,0
64736,853,812,0,28,28,0
64737,853,811,2,18,18,0
64738,854,20,309,1,1,9
64739,854,1,168,5,5,2
64740,854,808,34,9,9,0
64741,854,4,184,3,3,1
64742,854,17,182,4,4,0
64743,854,18,185,2,2,2
64744,854,13,84,6,6,0
64745,854,67,13,15,15,0
64746,854,16,28,11,11,0
64747,854,814,20,13,13,0
64748,854,153,16,14,14,0
64749,854,2,34,10,10,0
64750,854,15,0,21,21,0
64751,854,816,0,24,24,0
64752,854,10,0,25,25,0
64753,854,22,4,17,17,0
64754,854,3,62,7,7,0
64755,854,5,0,22,22,0
64756,854,30,52,8,8,0
64757,854,813,1,19,19,0
64758,854,155,27,12,12,0
64759,854,24,0,23,23,0
64760,854,815,9,16,16,0
64761,854,39,0,26,26,0
64762,854,37,0,20,20,0
64763,854,817,0,27,27,0
64764,854,812,0,28,28,0
64765,854,811,2,18,18,0
64766,855,20,324,1,1,9
64767,855,1,178,5,5,2
64768,855,808,36,9,9,0
64769,855,4,202,3,3,1
64770,855,17,194,4,4,0
64771,855,18,210,2,2,3
64772,855,13,90,6,6,0
64773,855,67,13,16,16,0
64774,855,16,28,11,11,0
64775,855,814,20,13,13,0
64776,855,153,16,14,14,0
64777,855,2,34,10,10,0
64778,855,15,0,21,21,0
64779,855,816,0,24,24,0
64780,855,10,0,25,25,0
64781,855,22,4,17,17,0
64782,855,3,63,7,7,0
64783,855,5,0,22,22,0
64784,855,30,60,8,8,0
64785,855,813,1,19,19,0
64786,855,155,27,12,12,0
64787,855,24,0,23,23,0
64788,855,815,13,15,15,0
64789,855,39,0,26,26,0
64790,855,37,0,20,20,0
64791,855,817,0,27,27,0
64792,855,812,0,28,28,0
64793,855,811,2,18,18,0
64794,856,20,349,1,1,10
64795,856,1,196,5,5,2
64796,856,808,36,9,9,0
64797,856,4,212,3,3,1
64798,856,17,209,4,4,0
64799,856,18,222,2,2,3
64800,856,13,98,6,6,0
64801,856,67,15,15,15,0
64802,856,16,28,11,11,0
64803,856,814,21,14,14,0
64804,856,153,22,13,13,0
64805,856,2,34,10,10,0
64806,856,15,0,21,21,0
64807,856,816,0,24,24,0
64808,856,10,0,25,25,0
64809,856,22,4,17,17,0
64810,856,3,67,7,7,0
64811,856,5,0,22,22,0
64812,856,30,60,8,8,0
64813,856,813,1,19,19,0
64814,856,155,27,12,12,0
64815,856,24,0,23,23,0
64816,856,815,13,16,16,0
64817,856,39,0,26,26,0
64818,856,37,0,20,20,0
64819,856,817,0,27,27,0
64820,856,812,0,28,28,0
64821,856,811,2,18,18,0
64822,857,20,374,1,1,11
64823,857,1,202,5,5,2
64824,857,808,36,9,9,0
64825,857,4,227,3,3,1
64826,857,17,221,4,4,0
64827,857,18,240,2,2,3
64828,857,13,98,6,6,0
64829,857,67,15,15,15,0
64830,857,16,30,11,11,0
64831,857,814,21,14,14,0
64832,857,153,26,13,13,0
64833,857,2,34,10,10,0
64834,857,15,0,21,21,0
64835,857,816,0,24,24,0
64836,857,10,0,25,25,0
64837,857,22,4,17,17,0
64838,857,3,75,7,7,0
64839,857,5,0,22,22,0
64840,857,30,70,8,8,0
64841,857,813,1,19,19,0
64842,857,155,27,12,12,0
64843,857,24,0,23,23,0
64844,857,815,14,16,16,0
64845,857,39,0,26,26,0
64846,857,37,0,20,20,0
64847,857,817,0,27,27,0
64848,857,812,0,28,28,0
64849,857,811,2,18,18,0
64850,858,20,374,1,1,11
64851,858,1,227,5,5,3
64852,858,808,36,9,9,0
64853,858,4,245,3,3,1
64854,858,17,233,4,4,0
64855,858,18,255,2,2,3
64856,858,13,108,6,6,0
64857,858,67,15,15,15,0
64858,858,16,34,11,11,0
64859,858,814,23,14,14,0
64860,858,153,26,13,13,0
64861,858,2,34,10,10,0
64862,858,15,0,21,21,0
64863,858,816,0,24,24,0
64864,858,10,0,25,25,0
64865,858,22,4,17,17,0
64866,858,3,83,7,7,0
64867,858,5,0,22,22,0
64868,858,30,76,8,8,0
64869,858,813,1,19,19,0
64870,858,155,28,12,12,0
64871,858,24,0,23,23,0
64872,858,815,14,16,16,0
64873,858,39,0,26,26,0
64874,858,37,0,20,20,0
64875,858,817,0,27,27,0
64876,858,812,0,28,28,0
64877,858,811,2,18,18,0
64878,859,20,392,1,1,11
64879,859,1,227,5,5,3
64880,859,808,37,10,10,0
64881,859,4,257,4,4,1
64882,859,17,258,3,3,1
64883,859,18,270,2,2,3
64884,859,13,118,6,6,0
64885,859,67,15,15,15,0
64886,859,16,42,9,9,0
64887,859,814,27,13,13,0
64888,859,153,26,14,14,0
64889,859,2,34,11,11,0
64890,859,15,0,21,21,0
64891,859,816,0,24,24,0
64892,859,10,0,25,25,0
64893,859,22,4,17,17,0
64894,859,3,89,7,7,0
64895,859,5,0,22,22,0
64896,859,30,76,8,8,0
64897,859,813,1,19,19,0
64898,859,155,30,12,12,0
64899,859,24,0,23,23,0
64900,859,815,14,16,16,0
64901,859,39,0,26,26,0
64902,859,37,0,20,20,0
64903,859,817,0,27,27,0
64904,859,812,0,28,28,0
64905,859,811,2,18,18,0
64999,860,39,0,24,24,0
64997,860,807,0,22,22,0
64995,860,30,0,20,20,0
64993,860,5,0,18,18,0
64991,860,811,0,16,16,0
64989,860,10,0,14,14,0
64987,860,3,0,12,12,0
64998,860,37,0,23,23,0
64996,860,154,0,21,21,0
64994,860,808,0,19,19,0
64992,860,13,0,17,17,0
64990,860,819,0,15,15,0
64988,860,813,0,13,13,0
64986,860,818,0,11,11,0
64985,860,814,1,10,10,0
64984,860,817,2,9,9,0
64983,860,815,4,8,8,0
64982,860,8,6,7,7,0
64981,860,155,8,6,6,0
64980,860,4,10,5,5,0
64979,860,17,12,4,4,0
64978,860,1,15,3,3,0
64977,860,20,18,2,2,0
64976,860,18,25,1,1,1
64928,861,18,25,3,3,1
64929,861,20,18,6,6,0
64930,861,1,30,2,2,0
64931,861,17,24,4,4,0
64932,861,4,35,1,1,1
64933,861,155,8,9,9,0
64934,861,8,16,7,7,0
64935,861,815,22,5,5,0
64936,861,817,2,12,12,0
64937,861,814,7,10,10,0
64938,861,818,4,11,11,0
64939,861,3,0,15,15,0
64940,861,813,0,16,16,0
64941,861,10,0,17,17,0
64942,861,819,0,18,18,0
64943,861,811,8,8,8,0
64944,861,13,0,19,19,0
64945,861,5,0,21,21,0
64946,861,808,0,20,20,0
64947,861,30,1,14,14,0
64948,861,154,0,24,24,0
64949,861,807,2,13,13,0
64950,861,37,0,23,23,0
64951,861,39,0,22,22,0
64952,862,18,43,2,2,1
64953,862,20,28,5,5,0
64954,862,1,45,1,1,0
64955,862,17,36,4,4,0
64956,862,4,37,3,3,1
64957,862,155,9,10,10,0
64958,862,8,16,8,8,0
64959,862,815,22,7,7,0
64960,862,817,2,15,15,0
64961,862,814,7,12,12,0
64962,862,818,4,13,13,0
64963,862,3,25,6,6,1
64964,862,813,4,14,14,0
64965,862,10,0,19,19,0
64966,862,819,0,20,20,0
64967,862,811,14,9,9,0
64968,862,13,0,18,18,0
64969,862,5,0,22,22,0
64970,862,808,0,21,21,0
64971,862,30,1,17,17,0
64972,862,154,8,11,11,0
64973,862,807,2,16,16,0
64974,862,37,0,23,23,0
64975,862,39,0,24,24,0
65000,863,18,43,4,4,1
65001,863,20,53,1,1,1
65002,863,1,49,2,2,0
65003,863,17,48,3,3,0
65004,863,4,43,5,5,1
65005,863,155,9,12,12,0
65006,863,8,34,7,7,0
65007,863,815,22,9,9,0
65008,863,817,2,15,15,0
65009,863,814,15,10,10,0
65010,863,818,4,13,13,0
65011,863,3,35,6,6,1
65012,863,813,4,14,14,0
65013,863,10,0,19,19,0
65014,863,819,0,20,20,0
65015,863,811,14,11,11,0
65016,863,13,2,17,17,0
65017,863,5,0,22,22,0
65018,863,808,0,21,21,0
65019,863,30,2,18,18,0
65020,863,154,23,8,8,0
65021,863,807,2,16,16,0
65022,863,37,0,23,23,0
65023,863,39,0,24,24,0
65024,864,18,45,6,6,1
65025,864,20,61,1,1,1
65026,864,1,53,3,3,0
65027,864,17,48,5,5,0
65028,864,4,61,2,2,1
65029,864,155,19,11,11,0
65030,864,8,49,4,4,0
65031,864,815,22,10,10,0
65032,864,817,2,16,16,0
65033,864,814,15,12,12,0
65034,864,818,4,14,14,0
65035,864,3,41,7,7,1
65036,864,813,29,9,9,1
65037,864,10,0,19,19,0
65038,864,819,0,20,20,0
65039,864,811,14,13,13,0
65040,864,13,2,17,17,0
65041,864,5,0,22,22,0
65042,864,808,0,21,21,0
65043,864,30,2,18,18,0
65044,864,154,35,8,8,0
65045,864,807,3,15,15,0
65046,864,37,0,23,23,0
65047,864,39,0,24,24,0
65048,865,18,45,7,7,1
65049,865,20,73,2,2,1
65050,865,1,63,4,4,0
65051,865,17,73,3,3,1
65052,865,4,76,1,1,1
65053,865,155,19,12,12,0
65054,865,8,51,6,6,0
65055,865,815,22,10,10,0
65056,865,817,2,17,17,0
65057,865,814,21,11,11,0
65058,865,818,4,16,16,0
65059,865,3,59,5,5,1
65060,865,813,29,9,9,1
65061,865,10,0,20,20,0
65062,865,819,0,21,21,0
65063,865,811,15,13,13,0
65064,865,13,10,14,14,0
65065,865,5,0,19,19,0
65066,865,808,0,23,23,0
65067,865,30,2,18,18,0
65068,865,154,35,8,8,0
65069,865,807,7,15,15,0
65070,865,37,0,24,24,0
65071,865,39,0,22,22,0
65072,866,18,45,8,8,1
65073,866,20,85,3,3,1
65074,866,1,88,1,1,1
65075,866,17,79,4,4,1
65076,866,4,86,2,2,1
65077,866,155,21,11,11,0
65078,866,8,55,6,6,0
65079,866,815,37,9,9,0
65080,866,817,2,17,17,0
65081,866,814,21,12,12,0
65082,866,818,4,16,16,0
65083,866,3,67,5,5,1
65084,866,813,29,10,10,1
65085,866,10,0,20,20,0
65086,866,819,0,21,21,0
65087,866,811,15,13,13,0
65088,866,13,11,14,14,0
65089,866,5,0,19,19,0
65090,866,808,0,23,23,0
65091,866,30,2,18,18,0
65092,866,154,53,7,7,0
65093,866,807,7,15,15,0
65094,866,37,0,24,24,0
65095,866,39,0,22,22,0
65096,867,18,49,8,8,1
65097,867,20,85,4,4,1
65098,867,1,88,3,3,1
65099,867,17,91,2,2,1
65100,867,4,111,1,1,2
65101,867,155,21,12,12,0
65102,867,8,73,6,6,0
65103,867,815,39,9,9,0
65104,867,817,2,18,18,0
65105,867,814,27,11,11,0
65106,867,818,4,17,17,0
65107,867,3,75,5,5,1
65108,867,813,29,10,10,1
65109,867,10,0,21,21,0
65110,867,819,0,22,22,0
65111,867,811,16,15,15,0
65112,867,13,11,16,16,0
65113,867,5,0,19,19,0
65114,867,808,0,20,20,0
65115,867,30,17,13,13,0
65116,867,154,53,7,7,0
65117,867,807,17,14,14,0
65118,867,37,0,24,24,0
65119,867,39,0,23,23,0
65120,868,18,50,8,8,1
65121,868,20,100,3,3,1
65122,868,1,92,4,4,1
65123,868,17,116,2,2,2
65124,868,4,129,1,1,2
65125,868,155,21,14,14,0
65126,868,8,83,5,5,0
65127,868,815,39,9,9,0
65128,868,817,2,18,18,0
65129,868,814,27,11,11,0
65130,868,818,4,17,17,0
65131,868,3,75,6,6,1
65132,868,813,29,10,10,1
65133,868,10,0,21,21,0
65134,868,819,0,22,22,0
65135,868,811,18,15,15,0
65136,868,13,23,13,13,0
65137,868,5,0,19,19,0
65138,868,808,0,20,20,0
65139,868,30,23,12,12,0
65140,868,154,61,7,7,0
65141,868,807,17,16,16,0
65142,868,37,0,24,24,0
65143,868,39,0,23,23,0
65196,870,4,164,1,1,3
65195,870,17,124,2,2,2
65194,870,1,117,4,4,2
65193,870,20,122,3,3,1
65192,870,18,76,7,7,1
65191,869,39,0,23,23,0
65190,869,37,0,24,24,0
65189,869,807,19,15,15,0
65188,869,154,61,8,8,0
65187,869,30,29,12,12,0
65186,869,808,0,20,20,0
65185,869,5,0,19,19,0
65184,869,13,23,14,14,0
65183,869,811,18,16,16,0
65182,869,819,0,22,22,0
65169,869,20,110,3,3,1
65170,869,1,92,5,5,1
65171,869,17,120,2,2,2
65172,869,4,154,1,1,3
65173,869,155,33,10,10,0
65174,869,8,98,4,4,0
65175,869,815,47,9,9,0
65176,869,817,2,18,18,0
65177,869,814,27,13,13,0
65178,869,818,4,17,17,0
65179,869,3,76,6,6,1
65180,869,813,29,11,11,1
65181,869,10,0,21,21,0
65168,869,18,68,7,7,1
65197,870,155,33,10,10,0
65198,870,8,116,5,5,0
65199,870,815,47,9,9,0
65200,870,817,2,18,18,0
65201,870,814,27,13,13,0
65202,870,818,4,17,17,0
65203,870,3,77,6,6,1
65204,870,813,29,11,11,1
65205,870,10,0,21,21,0
65206,870,819,0,22,22,0
65207,870,811,24,15,15,0
65208,870,13,25,14,14,0
65209,870,5,0,19,19,0
65210,870,808,0,20,20,0
65211,870,30,29,12,12,0
65212,870,154,76,8,8,0
65213,870,807,19,16,16,0
65214,870,37,0,24,24,0
65215,870,39,0,23,23,0
65216,871,18,101,6,6,2
65217,871,20,140,2,2,1
65218,871,1,117,5,5,2
65219,871,17,132,3,3,2
65220,871,4,164,1,1,3
65221,871,155,33,12,12,0
65222,871,8,131,4,4,0
65223,871,815,47,9,9,0
65224,871,817,4,18,18,0
65225,871,814,28,15,15,0
65226,871,818,8,17,17,0
65227,871,3,77,7,7,1
65228,871,813,29,14,14,1
65229,871,10,0,21,21,0
65230,871,819,0,22,22,0
65231,871,811,24,16,16,0
65232,871,13,35,11,11,0
65233,871,5,0,20,20,0
65234,871,808,0,19,19,0
65235,871,30,35,10,10,0
65236,871,154,76,8,8,0
65237,871,807,31,13,13,0
65238,871,37,0,24,24,0
65239,871,39,0,23,23,0
65240,872,18,101,6,6,2
65241,872,20,140,4,4,1
65242,872,1,142,2,2,3
65243,872,17,132,5,5,2
65244,872,4,179,1,1,3
65245,872,155,35,12,12,0
65246,872,8,141,3,3,0
65247,872,815,65,9,9,0
65248,872,817,4,18,18,0
65249,872,814,32,13,13,0
65250,872,818,8,17,17,0
65251,872,3,83,7,7,1
65252,872,813,29,15,15,1
65253,872,10,0,22,22,0
65254,872,819,0,23,23,0
65255,872,811,25,16,16,0
65256,872,13,47,10,10,0
65257,872,5,0,19,19,0
65258,872,808,0,20,20,0
65259,872,30,43,11,11,0
65260,872,154,76,8,8,0
65261,872,807,31,14,14,0
65262,872,37,0,25,25,0
65263,872,39,0,24,24,0
65264,872,816,0,21,21,0
65359,873,30,43,12,12,0
65360,873,154,82,8,8,0
65345,873,155,35,13,13,0
65353,873,10,0,19,19,0
65363,873,39,0,24,24,0
65346,873,8,149,3,3,0
65343,873,17,132,5,5,2
65362,873,37,0,25,25,0
65361,873,807,31,14,14,0
65358,873,808,0,21,21,0
65357,873,5,0,20,20,0
65355,873,811,25,16,16,0
65356,873,13,51,10,10,0
65354,873,819,0,23,23,0
65352,873,813,29,15,15,1
65351,873,3,93,7,7,1
65350,873,818,8,17,17,0
65349,873,814,44,11,11,0
65347,873,815,66,9,9,0
65348,873,817,6,18,18,0
65344,873,4,194,1,1,3
65341,873,20,165,2,2,2
65340,873,18,119,6,6,2
65389,874,816,0,22,22,0
65387,874,37,0,25,25,0
65386,874,807,37,14,14,0
65385,874,154,82,8,8,0
65384,874,30,43,13,13,0
65383,874,808,0,21,21,0
65381,874,13,69,9,9,0
65380,874,811,25,16,16,0
65379,874,819,0,23,23,0
65377,874,813,33,15,15,1
65373,874,817,7,18,18,0
65370,874,155,50,11,11,0
65368,874,17,134,5,5,2
65366,874,20,190,2,2,3
65388,874,39,0,24,24,0
65382,874,5,0,20,20,0
65371,874,8,157,3,3,0
65372,874,815,66,10,10,0
65374,874,814,44,12,12,0
65369,874,4,194,1,1,3
65378,874,10,0,19,19,0
65376,874,3,93,7,7,1
65375,874,818,8,17,17,0
65365,874,18,131,6,6,2
65367,874,1,152,4,4,3
65364,873,816,0,22,22,0
65342,873,1,142,4,4,3
65390,875,18,131,6,6,2
65391,875,20,215,1,1,4
65392,875,1,153,4,4,3
65393,875,17,152,5,5,2
65394,875,4,209,2,2,3
65395,875,155,50,11,11,0
65396,875,8,167,3,3,0
65397,875,815,66,10,10,0
65398,875,817,9,18,18,0
65399,875,814,44,13,13,0
65400,875,818,12,17,17,0
65401,875,3,93,7,7,1
65402,875,813,33,15,15,1
65403,875,10,0,19,19,0
65404,875,819,0,23,23,0
65405,875,811,25,16,16,0
65406,875,13,81,9,9,0
65407,875,5,0,20,20,0
65408,875,808,0,21,21,0
65409,875,30,43,14,14,0
65410,875,154,88,8,8,0
65411,875,807,45,12,12,0
65412,875,37,0,25,25,0
65413,875,39,0,24,24,0
65414,875,816,0,22,22,0
65415,876,18,141,6,6,2
65416,876,20,240,1,1,5
65417,876,1,165,5,5,3
65418,876,17,167,4,4,2
65419,876,4,227,2,2,3
65420,876,155,50,11,11,0
65421,876,8,173,3,3,0
65422,876,815,66,10,10,0
65423,876,817,9,18,18,0
65424,876,814,44,13,13,0
65425,876,818,12,17,17,0
65426,876,3,93,7,7,1
65427,876,813,33,15,15,1
65428,876,10,0,19,19,0
65429,876,819,0,23,23,0
65430,876,811,26,16,16,0
65431,876,13,89,9,9,0
65432,876,5,0,20,20,0
65433,876,808,0,21,21,0
65434,876,30,43,14,14,0
65435,876,154,90,8,8,0
65436,876,807,49,12,12,0
65437,876,37,0,25,25,0
65438,876,39,0,24,24,0
65439,876,816,0,22,22,0
65440,877,18,153,6,6,2
65441,877,20,255,1,1,5
65442,877,1,165,5,5,3
65443,877,17,167,4,4,2
65444,877,4,245,2,2,3
65445,877,155,58,11,11,0
65446,877,8,198,3,3,1
65447,877,815,66,10,10,0
65448,877,817,10,18,18,0
65449,877,814,46,13,13,0
65450,877,818,12,17,17,0
65451,877,3,93,8,8,1
65452,877,813,43,14,14,1
65453,877,10,0,19,19,0
65454,877,819,0,23,23,0
65455,877,811,30,16,16,0
65456,877,13,95,7,7,0
